Summer 2010 [Final],OCR,GCSE, Engineering:Impact of Modern Technologies on Engineering (Examined Unit):Written Paper  ,A624/02,1h 00m ,20 May 2010, Thursday pm  
Summer 2013 [Provisional],OCR,GCSE, Classical Greek:Sources for Classical Greek:Written  ,B405/01,1h 00m ,12 June 2013, Wednesday pm  
Summer 2013 [Provisional],OCR,GCE, Classical Greek:Classical Greek Verse:Written  ,F373/01,2h 00m ,14 June 2013, Friday pm  
Summer 2013 [Provisional],OCR,GCE, Classical Greek:Classical Greek Prose:Written  ,F374/01,2h 00m ,21 June 2013, Friday am  
Summer 2011 [Final],WJEC,GCE, Spanish SN2  ,136201,2h 30m ,16 May 2011, Monday am  
Summer 2011 [Final],Edexcel,GCE, Spanish 2: Understanding And Written Response In Spanish  ,6SP02,2h 30m ,16 May 2011, Monday am  
Summer 2011 [Final],AQA,GCE, Spanish 1  ,SPAN1,2h     ,16 May 2011, Monday am  
Summer 2011 [Final],OCR,GCE," Spanish: Listening, Reading and Writing 1:Written Paper  ",F722/01,2h 30m ,16 May 2011, Monday am  
Summer 2011 [Final],CCEA,GCE, Spanish A2 2  ,AK222,2h 20m ,16 May 2011, Monday am  
Summer 2011 [Final],CCEA,GCE, Spanish A2 2  ,AK221,0h 40m ,16 May 2011, Monday am  
Summer 2011 [Final],CCEA,GCSE, Spanish Unit 3 (Foundation Tier)  ,GSP31,0h 35m ,23 May 2011, Monday pm  
Summer 2011 [Final],CCEA,GCSE, Spanish Unit 3 (Higher Tier)  ,GSP32,0h 45m ,23 May 2011, Monday pm  
Summer 2011 [Final],WJEC,GCSE, Spanish Unit 1 Listening Higher  ,452102,45m    ,23 May 2011, Monday pm  
Summer 2011 [Final],OCR,GCSE, Spanish: Listening:Written Paper (Higher)  ,A721/02,0h 45m ,23 May 2011, Monday pm  
Summer 2012 [Final] Changed,Edexcel,GCSE, ENGLISH UNIT 2: THE WRITERS' CRAFT FOUNDATION TIER  ,5EH2F,2h     ,29 May 2012, Tuesday am  
Summer 2012 [Final],WJEC,GCSE, English Unit 1 Reading Foundation  ,417101,1h     ,29 May 2012, Tuesday am  
Summer 2012 [Final] Changed,OCR,GCSE, English:Information and Ideas:Written Paper (Foundation)  ,A680/01,2h 00m ,29 May 2012, Tuesday am  
Summer 2012 [Final],AQA,GCSE, English Unit 1H  ,ENG1H,2h 15m ,29 May 2012, Tuesday am  
Summer 2012 [Final],AQA,GCSE, English Unit 1F  ,ENG1F,2h 15m ,29 May 2012, Tuesday am  
Summer 2012 [Final],WJEC,GCSE, English Unit 2 Writing Foundation  ,417201,1h     ,29 May 2012, Tuesday am  
Summer 2012 [Final],WJEC,GCSE, English Unit 1 Reading Higher  ,417102,1h     ,29 May 2012, Tuesday am  
Summer 2012 [Final],WJEC,GCSE, English Unit 2 Writing Higher  ,417202,1h     ,29 May 2012, Tuesday am  
March 2010 [Final],CCEA,ELC, English  ,E7001,1h 30m ,24 March 2010, Wednesday am  
March 2010 [Final],WJEC,ELC, English- Written Paper  ,070001,1h 30m ,24 March 2010, Wednesday am  
Summer 2012 [Final],AQA,GCSE, Biology 3  ,BLY3F,45m    ,21 May 2012, Monday am  
Summer 2012 [Final],Edexcel,GCE," Biology 2: Developments, Plants &amp; The Environment  ",6BI02,1h 30m ,21 May 2012, Monday pm  
Summer 2012 [Final],WJEC,GCE, Human Biology HB2  ,107202,1h 30m ,21 May 2012, Monday pm  
Summer 2012 [Final],AQA,GCE, Biology 2  ,BIOL2,1h 45m ,21 May 2012, Monday pm  
Summer 2012 [Final],WJEC,GCE, Biology BY2  ,107201,1h 30m ,21 May 2012, Monday pm  
Summer 2012 [Final],CCEA,GCSE, Biology Unit 1 (Higher)  ,GBY12,1h 30m ,30 May 2012, Wednesday pm  
Summer 2012 [Final],CCEA,GCSE, Biology Unit 1 (Foundation)  ,GBY11,1h 15m ,30 May 2012, Wednesday pm  
Summer 2012 [Final],AQA,GCSE, Biology 1  ,BLY1F,45m    ,12 June 2012, Tuesday am  
Summer 2012 [Final],AQA,GCSE, Biology 1  ,BLY1H,45m    ,12 June 2012, Tuesday am  
Summer 2012 [Final],WJEC,GCE, Biology BY4  ,107401,1h 45m ,15 June 2012, Friday am  
Summer 2012 [Final],AQA,GCE, Psychology B 1  ,PSYB1,1h 30m ,23 May 2012, Wednesday am  
Summer 2012 [Final],AQA,GCE, Psychology B 2  ,PSYB2,1h 30m ,29 May 2012, Tuesday pm  
Summer 2012 [Final],AQA,GCE, Psychology B 3  ,PSYB3,2h     ,11 June 2012, Monday am  
Summer 2012 [Final],AQA,GCE, Psychology B 4  ,PSYB4,2h     ,18 June 2012, Monday am  
Summer 2013 [Provisional],OCR,GCE," Biology:Control, Genomes and Environment:Written  ",F215/01,2h 00m ,11 June 2013, Tuesday am  
Summer 2013 [Provisional],OCR,GCE," Biology:Communication, Homeostasis and Energy:Written  ",F214/01,1h 15m ,17 June 2013, Monday pm  
Summer 2013 [Provisional],OCR,GCSE, Biology A Module B7:Written - Higher  ,A163/02,1h 00m ,18 June 2013, Tuesday am  
Summer 2013 [Provisional],OCR,GCSE, Biology A Module B7:Written - Foundation  ,A163/01,1h 00m ,18 June 2013, Tuesday am  
Summer 2009 [Final],Edexcel,GCE, MATHEMATICS: PURE FURTHER PURE FP1  ,6667 01,1h 30m ,17 June 2009, Wednesday am  
Summer 2009 [Final],Edexcel,GCE, MATHEMATICS: PURE FURTHER PURE FP2  ,6675 01,1h 30m ,19 June 2009, Friday pm  
Summer 2009 [Final],CCEA,GCE, Mathematics FP2  ,AMF21,1h 30m ,19 June 2009, Friday pm  
Summer 2009 [Final],Edexcel,GCE, MATHEMATICS: PURE FURTHER PURE FP2  ,6668 01,1h 30m ,19 June 2009, Friday pm  
Summer 2009 [Final],CCEA,GCE, Mathematics FP1  ,AMF11,1h 30m ,23 June 2009, Tuesday am  
Summer 2009 [Final],Edexcel,GCE, MATHEMATICS: PURE FURTHER PURE FP3  ,6676 01,1h 30m ,23 June 2009, Tuesday am  
Summer 2009 [Final],Edexcel,GCE, MATHEMATICS: PURE FURTHER PURE FP3  ,6669 01,1h 30m ,23 June 2009, Tuesday am  
Summer 2010 [Final],CCEA,GCE, ICT A2 1  ,AW211,2h 00m ,18 May 2010, Tuesday pm  
Summer 2010 [Final],AQA,GCE, Information and Communication Technology 1  ,INFO1,1h 30m ,18 May 2010, Tuesday pm  
Summer 2010 [Final],WJEC,GCE, Information &amp; Communication Technology IT1 (New Specification)  ,124101,2h 15m ,18 May 2010, Tuesday pm  
Summer 2010 [Final],OCR,GCE," Information and Communication Technology:Information, Systems and Applications:Written Paper  ",G061/01,2h 00m ,18 May 2010, Tuesday pm  
Summer 2010 [Final],CCEA,GCSE, GCSE ICT B Higher  ,G4304,1h 30m ,19 May 2010, Wednesday pm  
Summer 2010 [Final],CCEA,GCSE, GCSE ICT  B Foundation  ,G4303,1h 00m ,19 May 2010, Wednesday pm  
Summer 2010 [Final],AQA,GCE, Information and Communication Technology 2  ,INFO2,1h 30m ,24 May 2010, Monday am  
Summer 2010 [Final],CCEA,GCE, ICT AS 1  ,AW111,2h 00m ,24 May 2010, Monday am  
Summer 2010 [Final],OCR,GCE, Information and Communication Technology:Communications Technology and its Application:Written Paper  ,2515/01,1h 30m ,14 June 2010, Monday pm  
Summer 2010 [Final],OCR,GCE, Information and Communication Technology:ICT Systems and Systems Management:Written Paper  ,2517/01,1h 30m ,14 June 2010, Monday pm  
January 2010 [Final],AQA,GCE, General Studies A 4 (New Specification)    ,GENA4,2h     ,2 February 2010, Tuesday am  
March 2009 [Final],WJEC,ELC, Religious Studies- Option 8 Written Exam  ,073008,30m    ,23 March 2009, Monday pm  
March 2009 [Final],WJEC,ELC, Religious Studies- Option 1 Written Exam  ,073001,30m    ,23 March 2009, Monday pm  
March 2009 [Final],WJEC,ELC, Religious Studies- Option 5 Written Exam  ,073005,30m    ,23 March 2009, Monday pm  
March 2009 [Final],CCEA,ELC, Religious Studies (1)  ,E7301,0h 30m ,23 March 2009, Monday pm  
March 2009 [Final],CCEA,ELC, Religious Education (9)  ,E7309,0h 30m ,23 March 2009, Monday pm  
March 2009 [Final],CCEA,ELC, Religious Studies (4)  ,E7304,0h 30m ,23 March 2009, Monday pm  
March 2009 [Final],CCEA,ELC, Religious Studies (2)  ,E7302,0h 30m ,23 March 2009, Monday pm  
January 2010 [Final],AQA,GCE, Sociology 4  ,SCY4,1h 30m ,22 January 2010, Friday pm  
Summer 2010 [Final],AQA,GCSE, Sociology Unit 1 (New Specification)  ,41901,1h 30m ,25 June 2010, Friday pm  
Summer 2010 [Final],AQA,GCSE, Sociology (Short Course) Unit 1 (New Specification)  ,41901,1h 30m ,25 June 2010, Friday pm  
March 2011 [Final],Edexcel,GCSE, BIOLOGY UNIT B2  ,5015 01,0h 20m ,3 March 2011, Thursday am  
March 2011 [Final],Edexcel,GCSE, BIOLOGY B2  ,5027 01,0h 20m ,3 March 2011, Thursday am  
March 2011 [Final],Edexcel,GCSE, BIOLOGY B1A  ,5025 01,0h 20m ,4 March 2011, Friday am  
March 2011 [Final],Edexcel,GCSE, BIOLOGY UNIT B1A  ,5005 01,0h 20m ,4 March 2011, Friday am  
March 2011 [Final],Edexcel,GCSE, BIOLOGY UNIT B1B  ,5006 01,0h 20m ,4 March 2011, Friday am  
March 2011 [Final],Edexcel,GCSE, BIOLOGY B1B  ,5026 01,0h 20m ,4 March 2011, Friday am  
Summer 2009 [Final],CCEA,GCSE, Irish(Higher Tier)  ,G2807,0h 30m ,21 May 2009, Thursday pm  
Summer 2009 [Final],CCEA,GCSE, Irish 3 Reading (Foundation  ,G5503,0h 40m ,21 May 2009, Thursday pm  
Summer 2009 [Final],CCEA,GCE, Irish A2 3  ,A2I31,2h 00m ,27 May 2009, Wednesday am  
Summer 2009 [Final],CCEA,GCSE, Irish (Gaeilge) 1  ,G5601,2h 00m ,8 June 2009, Monday am  
Summer 2009 [Final],CCEA,GCE, Irish AS 2 Part 1  ,ASI21,0h 45m ,9 June 2009, Tuesday am  
Summer 2009 [Final],CCEA,GCE, Irish AS 2 Section B &amp; C  ,AI122,2h 15m ,9 June 2009, Tuesday am  
Summer 2009 [Final],CCEA,GCE, Irish AS 2 Section A  ,AI121,0h 30m ,9 June 2009, Tuesday am  
Summer 2009 [Final],CCEA,GCE, Irish AS 2   Part 2  ,ASI22,1h 00m ,9 June 2009, Tuesday am  
Summer 2009 [Final],CCEA,GCSE, Irish (Gaeilge) 2  ,G5602,3h 00m ,12 June 2009, Friday pm  
Summer 2009 [Final],CCEA,GCE, Irish AS 3  ,ASI31,1h 15m ,15 June 2009, Monday am  
November 2011 [Final],AQA,GCSE, Written (non-calculator)  ,43055/1H,1h 15m ,9 November 2011, Wednesday pm  
November 2011 [Final],AQA,GCSE, Written (non-calculator)  ,43055/1F,1h 15m ,9 November 2011, Wednesday pm  
November 2011 [Final],AQA,GCSE, Written (calculator)  ,43055/2H,1h 15m ,14 November 2011, Monday am  
November 2011 [Final],AQA,GCSE, Written (calculator)  ,43055/2F,1h 15m ,14 November 2011, Monday am  
November 2011 [Final],AQA,GCSE, Written (non-calculator)    ,43053/HB,45m    ,17 November 2011, Thursday am  
November 2011 [Final],AQA,GCSE, Written (calculator)    ,43053/FA,45m    ,17 November 2011, Thursday am  
November 2011 [Final],AQA,GCSE, Written (calculator)    ,43053/HA,45m    ,17 November 2011, Thursday am  
November 2011 [Final],AQA,GCSE, Written (non-calculator)    ,43053/FB,45m    ,17 November 2011, Thursday am  
November 2011 [Final],AQA,GCSE, Written (calculator)    ,43051/FA,30m    ,17 November 2011, Thursday pm  
November 2011 [Final],AQA,GCSE, Written (non-calculator)    ,43051/FB,30m    ,17 November 2011, Thursday pm  
January 2009 [Final],OCR,GCE, Computing:Computer Fundamentals:Written Paper  ,F451/01,1h 30m ,12 January 2009, Monday pm  
January 2009 [Final],WJEC,GCE, Computing CG1 (New Specification)  ,110101,3h     ,12 January 2009, Monday pm  
January 2009 [Final],AQA,GCE, Computing 2 Written  ,CPT2,1h 30m ,12 January 2009, Monday pm  
January 2009 [Final],OCR,GCE, Computing:Programming Techniques and Logical Methods:Written Paper  ,F452/01,1h 30m ,12 January 2009, Monday pm  
January 2009 [Final],WJEC,GCE, Computing CP1  (Legacy)  ,034101,1h 30m ,12 January 2009, Monday pm  
January 2009 [Final],AQA,GCE, Computing 1 Written  ,CPT1,1h 30m ,12 January 2009, Monday pm  
January 2009 [Final],OCR,GCE, Computing:Computer Systems Development and Practical Applications:Written Paper  ,2508/01,1h 30m ,12 January 2009, Monday pm  
January 2009 [Final],WJEC,GCE, Computing CP2  (Legacy)  ,034201,1h 30m ,12 January 2009, Monday pm  
January 2009 [Final],OCR,GCE," Computing:Introductory Computer Systems, Communications and Software:Written Paper  ",2506/01,1h 30m ,12 January 2009, Monday pm  
January 2009 [Final],AQA,GCE, Computing 4 Written  ,CPT4,1h 30m ,23 January 2009, Friday am  
January 2010 [Final],AQA,GCE, Archaeology 1 (New Specification)  ,ARCH1,1h 15m ,18 January 2010, Monday am  
Summer 2009 [Final],Edexcel,GCE, PSYCHOLOGY UNDERSTANDING THE INDIVIDUAL  ,6PS02,1h 40m ,15 May 2009, Friday pm  
Summer 2009 [Final],OCR,GCE, Psychology:Core Studies 2:Written Paper  ,2541/01,1h 00m ,15 May 2009, Friday pm  
Summer 2009 [Final],AQA,GCE, Psychology B 1 Written  ,PYB1,1h 30m ,15 May 2009, Friday pm  
Summer 2009 [Final],WJEC,GCE, Psychology PY2 (New Specification)  ,133201,1h 45m ,15 May 2009, Friday pm  
Summer 2009 [Final],OCR,GCE, Psychology:Psychological Investigations:Written Paper  ,G541/01,1h 00m ,15 May 2009, Friday pm  
Summer 2009 [Final],WJEC,GCE, Psychology PY1 (New Specification)  ,133101,1h 15m ,15 May 2009, Friday pm  
Summer 2009 [Final],AQA,GCE, Psychology A 1 Written  ,PYA1,1h 00m ,15 May 2009, Friday pm  
Summer 2009 [Final],AQA,GCE, Psychology A 2 Written  ,PYA2,1h 00m ,15 May 2009, Friday pm  
Summer 2009 [Final],OCR,GCE, Psychology:Psychology and Organisations:Written Paper  ,2546/01,1h 30m ,9 June 2009, Tuesday am  
Summer 2009 [Final],Edexcel,GCE, PSYCHOLOGY CLINICAL TOPIC  ,6764 4A,0h 45m ,9 June 2009, Tuesday am  
Summer 2010 [Final],Edexcel,GCSE," MATHEMATICS, STATISTICS FOUNDATION PAPER  ",1389 1F,2h 00m ,25 June 2010, Friday am  
Summer 2010 [Final],Edexcel,GCSE," MATHEMATICS, STATISTICS HIGHER PAPER  ",1389 1H,2h 30m ,25 June 2010, Friday am  
Summer 2012 [Final],Edexcel,GCE, Mathematics: Mechanics M3  ,6679 01,1h 30m ,14 June 2012, Thursday am  
Summer 2012 [Final],CCEA,GCE, Mechanics M3  ,AMM31,1h 30m ,21 June 2012, Thursday pm  
Summer 2012 [Final] Changed,OCR,GCE, Mathematics:Mechanics 3:Written Paper  ,4730/01,1h 30m ,21 June 2012, Thursday pm  
Summer 2012 [Final] Changed,OCR,GCE, Mathematics:Mechanics 2:Written Paper  ,4729/01,1h 30m ,22 June 2012, Friday pm  
Summer 2012 [Final],CCEA,GCE, Mechanics M4  ,AMM41,1h 30m ,22 June 2012, Friday pm  
Summer 2012 [Final],Edexcel,GCE, Mathematics: Mechanics M5  ,6681 01,1h 30m ,25 June 2012, Monday pm  
Summer 2012 [Final] Changed,OCR,GCE, Mathematics:Mechanics 4:Written Paper  ,4731/01,1h 30m ,25 June 2012, Monday pm  
Summer 2010 [Final],OCR,GCE, History:Historical Investigations 1556-1725:Paper 1 Elizabeth I  ,2588/12,1h 30m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],AQA,GCE, History Unit 3K  ,HIS3K,1h 30m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],OCR,GCE, History:Historical Themes:Medieval and Early Modern 1066-1715  ,F966/01,2h 00m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],OCR,GCE, History:Historical Investigations 1556-1725:Paper 1 Oliver Cromwell  ,2588/13,1h 30m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],AQA,GCE, History Unit 3F  ,HIS3F,1h 30m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],AQA,GCE, History Unit 3D  ,HIS3D,1h 30m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],OCR,GCE, History:Historical Investigations 1556-1725:Paper 1 Philip II  ,2588/11,1h 30m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],AQA,GCE, History Unit 3C  ,HIS3C,1h 30m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],AQA,GCE, History Unit 3G  ,HIS3G,1h 30m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],AQA,GCE, History Unit 3E  ,HIS3E,1h 30m ,16 June 2010, Wednesday pm  
January 2010 [Final],Edexcel,GCE, MATHEMATICS: STATISTICS STATISTICS S1  ,6683 01,1h 30m ,13 January 2010, Wednesday pm  
January 2010 [Final],Edexcel,GCE, MATHEMATICS: STATISTICS STATISTICS S2  ,6684 01,1h 30m ,19 January 2010, Tuesday am  
January 2010 [Final],OCR,GCE, Mathematics: MEI Statistics 3:Written Paper  ,4768/01,1h 30m ,20 January 2010, Wednesday pm  
January 2010 [Final],OCR,GCE, Mathematics: MEI AS Statistics 1:Written Paper  ,G241/01,1h 30m ,25 January 2010, Monday am  
January 2010 [Final],OCR,GCE, Mathematics: MEI Statistics 2:Written Paper  ,4767/01,1h 30m ,25 January 2010, Monday am  
January 2010 [Final],OCR,GCE, Mathematics: MEI Statistics 1:Written Paper  ,4766/01,1h 30m ,25 January 2010, Monday am  
January 2010 [Final],CCEA,GCE, Statistics S1  ,AMS11,1h 30m ,27 January 2010, Wednesday pm  
January 2010 [Final],AQA,GCE, Philosophy 4  ,PLY4,1h     ,25 January 2010, Monday pm  
January 2010 [Final],AQA,GCE, Bengali 2  ,BEN2,3h     ,13 January 2010, Wednesday am  
January 2010 [Final],AQA,GCE, Human Biology 2 (New Specification)  ,HBIO2,1h 30m ,19 January 2010, Tuesday pm  
Summer 2013 [Provisional],OCR,GCSE, Law:The nature of law. Criminal courts and criminal processes:Written  ,B141/01,1h 00m ,24 May 2013, Friday am  
Summer 2013 [Provisional],OCR,GCE, Law:Criminal Law:Written  ,G153/01,2h 00m ,6 June 2013, Thursday am  
Summer 2013 [Provisional],OCR,GCE, Law:Law of Contract:Written  ,G155/01,2h 00m ,6 June 2013, Thursday am  
Summer 2013 [Provisional],AQA,GCE, Law 3  ,LAW03,1h 30m ,6 June 2013, Thursday am  
Summer 2013 [Provisional],WJEC,GCE, Law LA3 All Options  ,125300,1h 30m ,6 June 2013, Thursday am  
Summer 2013 [Provisional],OCR,GCE, Law:Law of Torts:Written  ,G157/01,2h 00m ,6 June 2013, Thursday am  
Summer 2013 [Provisional],OCR,GCSE, Law:Civil courts and civil processes. Civil liberties and human rights:Written  ,B142/02,1h 00m ,6 June 2013, Thursday pm  
Summer 2013 [Provisional],OCR,GCSE, Law:Civil courts and civil processes. Civil liberties and human rights:CBT  ,B142/01,1h 00m ,6 June 2013, Thursday pm  
Summer 2013 [Provisional],WJEC,GCE, Law LA4 All Options  ,125400,2h 30m ,14 June 2013, Friday am  
Summer 2013 [Provisional],OCR,GCE, Law:Criminal Law Special Study:Written  ,G154/01,1h 30m ,14 June 2013, Friday am  
Summer 2009 [Final],AQA,GCE, Biology B 1 Written  ,BYB1,1h 00m ,1 June 2009, Monday pm  
Summer 2009 [Final],AQA,GCE, Biology B 2 Written  ,BYB2,1h 00m ,1 June 2009, Monday pm  
Summer 2009 [Final],OCR,GCE," Biology:Molecules, Biodiversity, Food and Health:Written Paper  ",F212/01,1h 45m ,1 June 2009, Monday pm  
Summer 2009 [Final],OCR,GCE," Biology:Cells, Exchange and Transport:Written Paper  ",F211/01,1h 00m ,1 June 2009, Monday pm  
Summer 2009 [Final],OCR,GCE, Biology:Transport/Experimental Skills 1:Transport (Written Paper)  ,2803/01,0h 45m ,1 June 2009, Monday pm  
Summer 2009 [Final],AQA,GCSE, Biology 1 Written  ,BLY1H,0h 45m ,12 June 2009, Friday am  
Summer 2009 [Final],OCR,GCSE," Biology B: Unit 2 (B4, B5, B6) Higher  ",B632/02,1h 00m ,12 June 2009, Friday am  
Summer 2009 [Final],AQA,GCSE, Biology 1 Written  ,BLY1F,0h 45m ,12 June 2009, Friday am  
Summer 2009 [Final],OCR,GCSE, Biology A: Unit 3 (Ideas in Context plus B7) Foundation  ,A223/01,1h 00m ,12 June 2009, Friday am  
Summer 2009 [Final],WJEC,GCSE, Science Biology 1 Foundation  ,23501,45m    ,12 June 2009, Friday am  
January 2012 [Final],AQA,GCE, History Unit 1E  ,HIS1E,1h 15m ,16 January 2012, Monday pm  
January 2012 [Final],AQA,GCE, History Unit 1M  ,HIS1M,1h 15m ,16 January 2012, Monday pm  
January 2012 [Final],AQA,GCE, History Unit 1C  ,HIS1C,1h 15m ,16 January 2012, Monday pm  
January 2012 [Final],AQA,GCE, History Unit 1L  ,HIS1L,1h 15m ,16 January 2012, Monday pm  
January 2012 [Final],AQA,GCE, History Unit 1H  ,HIS1H,1h 15m ,16 January 2012, Monday pm  
January 2012 [Final],OCR,GCE, History:European and World History Period Studies:Modern 1795-2003  ,F962/02,1h 30m ,16 January 2012, Monday pm  
January 2012 [Final],CCEA,GCE, History AS 1  ,AH111,1h 30m ,16 January 2012, Monday pm  
January 2012 [Final],OCR,GCE, History:British History Period Studies:Medieval and Early Modern 1035-1642  ,F961/01,1h 30m ,16 January 2012, Monday pm  
January 2012 [Final],OCR,GCE, History:European and World History Period Studies:Medieval and Early Modern 1095-1609  ,F962/01,1h 30m ,16 January 2012, Monday pm  
January 2012 [Final],Edexcel,GCE, HISTORY: HISTORICAL THEMES IN BREADTH  ,6HI01,1h 20m ,16 January 2012, Monday pm  
January 2012 [Final],AQA,GCSE, Written  ,SCA1HP,1h 30m ,12 January 2012, Thursday am  
January 2012 [Final],AQA,GCSE, Written  ,SCA1FP,1h 30m ,12 January 2012, Thursday am  
January 2012 [Final],AQA,GCSE, Written  ,SCA2HP,1h 30m ,18 January 2012, Wednesday am  
January 2012 [Final],AQA,GCSE, Written  ,SCA2FP,1h 30m ,18 January 2012, Wednesday am  
Summer 2009 [Final],OCR,GCSE, Design and Technology (Graphic Products):Paper 2 (Higher)  ,1055/02,1h 30m ,21 May 2009, Thursday am  
Summer 2009 [Final],OCR,GCSE, Design and Technology (Graphic Products):Paper 2 (Higher)  ,1955/02,1h 30m ,21 May 2009, Thursday am  
Summer 2009 [Final],OCR,GCSE, Design and Technology (Graphic Products):Paper 1 (Foundation)  ,1955/01,1h 15m ,21 May 2009, Thursday am  
Summer 2009 [Final],OCR,GCSE, Design and Technology (Graphic Products):Paper 1 (Foundation)  ,1055/01,1h 15m ,21 May 2009, Thursday am  
Summer 2009 [Final],AQA,GCSE, Design and Technology (Graphic Products) (Short Course) Written    ,3553/H,1h 30m ,8 June 2009, Monday pm  
Summer 2009 [Final],AQA,GCSE, Design and Technology (Graphic Products) (Short Course) Written    ,3553/F,1h 30m ,8 June 2009, Monday pm  
Summer 2009 [Final],AQA,GCSE, Design and Technology (Graphic Products) Written    ,3543/H,2h 00m ,8 June 2009, Monday pm  
Summer 2009 [Final],AQA,GCSE, Design and Technology (Graphic Products) Written    ,3543/F,2h 00m ,8 June 2009, Monday pm  
Summer 2009 [Final],OCR,GCSE, Design and Technology (Graphic Products):Paper 3 (Foundation)  ,1955/03,1h 15m ,18 June 2009, Thursday pm  
Summer 2009 [Final],OCR,GCSE, Design and Technology (Graphic Products):Paper 4 (Higher)  ,1955/04,1h 30m ,18 June 2009, Thursday pm  
Summer 2010 [Final],Edexcel,GCSE, RELIGIOUS STUDIES MARK'S GOSPEL  ,5RS16,1h 30m ,15 June 2010, Tuesday am  
Summer 2010 [Final],OCR,GCSE, Religious Studies:Perspectives on World Religions:Written Paper  ,B589/01,1h 00m ,15 June 2010, Tuesday am  
Summer 2010 [Final],OCR,GCSE," Religious Studies:Ethics 2 ( Peace and Justice, Equality, Media):Written Paper  ",B604/01,1h 00m ,15 June 2010, Tuesday am  
Summer 2010 [Final],WJEC,GCE, Religious Studies RS4 HE: Religion and Human Experience (New Specification)  ,134901,1h 45m ,17 June 2010, Thursday am  
Summer 2010 [Final],OCR,GCE," Religious Studies:Connections in Religious Studies (routes A, AX, AY):Written Paper  ",2791/01,1h 30m ,17 June 2010, Thursday am  
Summer 2010 [Final],OCR,GCE," Religious Studies:Connections in Religious Studies (routes E, L):Written Paper  ",2793/01,1h 30m ,17 June 2010, Thursday am  
Summer 2010 [Final],OCR,GCSE," Religious Studies B (Philosophy and Ethics):Paper 2 (Ethics, without Coursework)  ",1931/02,2h 00m ,17 June 2010, Thursday am  
Summer 2010 [Final],WJEC,GCSE, Religious Studies Spec A Unit 8: Judaism (New Specification)  ,444801,1h 45m ,17 June 2010, Thursday am  
Summer 2010 [Final] Changed,OCR,GCSE, Religious Studies:Jewish Scriptures 2 (Talmud):Written Paper  ,B586/01,1h 00m ,17 June 2010, Thursday am  
Summer 2010 [Final],WJEC,GCSE, Religious Studies Paper E (Legacy)  ,20505,1h 45m ,17 June 2010, Thursday am  
Summer 2009 [Final],WJEC,GCSE, Leisure &amp; Tourism Unit 1 Written Paper  ,64101,1h 30m ,15 June 2009, Monday am  
Summer 2009 [Final],OCR,GCSE, Leisure and Tourism:Investigating Leisure and Tourism:Externally Assessed  ,4875/01,1h 30m ,15 June 2009, Monday am  
Summer 2009 [Final],Edexcel,GCSE, LEISURE AND TOURISM INVESTIGATING LEIS.&amp;TOUR.  ,5346 01,1h 30m ,15 June 2009, Monday am  
Summer 2009 [Final],CCEA,GCSE, Leisure &amp; Tourism Unit 1  ,GDL11,1h 30m ,15 June 2009, Monday am  
Summer 2009 [Final],AQA,GCSE, Leisure and Tourism (Double Award) Written  ,3840/1,1h 30m ,15 June 2009, Monday am  
Summer 2011 [Final],AQA,GCSE, Biology OT - screen based  ,BL1BSH,30m    ,28 June 2011, Tuesday am  
Summer 2011 [Final],AQA,GCSE, Biology OT - paper based  ,BLY1AP,30m    ,28 June 2011, Tuesday am  
Summer 2011 [Final],AQA,GCSE, Biology OT - paper based  ,BLY1BP,30m    ,28 June 2011, Tuesday am  
Summer 2011 [Final],AQA,GCSE, Biology OT-screen based  ,BL1ASF,30m    ,28 June 2011, Tuesday am  
Summer 2011 [Final],AQA,GCSE, Biology OT - screen based  ,BL1ASH,30m    ,28 June 2011, Tuesday am  
Summer 2011 [Final],AQA,GCSE, Biology OT - screen based  ,BL1BSF,30m    ,28 June 2011, Tuesday am  
Summer 2009 [Final],CCEA,GCE, Biology Unit 3 Test  ,ASB31,1h 00m ,12 June 2009, Friday pm  
Summer 2009 [Final],AQA,GCE, Biology B 5/W Written  ,BYB5/W,1h 15m ,12 June 2009, Friday pm  
Summer 2009 [Final],OCR,GCE," Biology:Options in Biology:Growth, Development and Reproduction (Written Paper)  ",2805/01,1h 30m ,17 June 2009, Wednesday pm  
Summer 2009 [Final],OCR,GCE, Biology:Options in Biology:Environmental Biology (Written Paper)  ,2805/03,1h 30m ,17 June 2009, Wednesday pm  
Summer 2009 [Final],AQA,GCE, Biology B 8 Written  ,BYB8,2h 15m ,17 June 2009, Wednesday pm  
Summer 2009 [Final],OCR,GCE, Biology:Options in Biology:Applications of Genetics (Written Paper)  ,2805/02,1h 30m ,17 June 2009, Wednesday pm  
Summer 2009 [Final],OCR,GCE, Biology:Options in Biology:Mammalian Physiology and Behaviour (Written Paper)  ,2805/05,1h 30m ,17 June 2009, Wednesday pm  
